V1,V2
41.33087631,24.44723618
9.475511812,24.45728643
34.50943751,24.6281407
7.530812141,24.79899497
28.1611942,24.79899497
8.456687664,24.80904523
6.078701881,24.98994975
12.45911341,25.04020101
7.135821519,25.28140704
8.824543196,25.60301508
6.322671504,25.93467337
6.322835628,25.94472362
17.18340914,26.14572864
9.363825752,26.1959799
7.635057934,26.34673367
39.95795566,26.35678392
7.663123057,26.37688442
45.42102608,26.40703518
7.954879981,26.43718593
7.258066193,26.44723618
7.389365014,26.63819095
7.236948966,26.66834171
8.645730614,26.71859296
33.09720927,26.71859296
6.532722265,26.73869347
36.74138071,26.79899497
17.89182099,26.84924623
8.238321312,26.84924623
7.012291211,26.9798995
40.64631708,27.01005025
5.709861608,27.0201005
40.84132319,27.11055276
25.63645463,27.15075377
25.07326474,27.21105528
22.62719505,27.25125628
7.951980465,27.26130653
25.65221048,27.28140704
25.65221048,27.28140704
6.100229417,27.29145729
10.09847001,27.38190955
6.548423416,27.3919598
6.895407906,27.3919598
8.669446463,27.70351759
11.43845655,27.74371859
18.58907244,27.7638191
6.667057372,27.92462312
6.667057372,27.92462312
33.60328417,27.97487437
6.840918895,28.01507538
28.285381,28.11557789
7.315126472,28.2361809
31.65861185,28.38693467
31.65861185,28.38693467
5.982853742,28.45728643
7.867703034,28.51758794
6.89745945,28.87939698
28.60678957,28.87939698
26.66884632,28.88944724
27.05163709,28.91959799
7.992601038,28.94974874
33.9540435,29.11055276
41.32742972,29.21105528
27.13175673,29.24120603
7.2019633,29.25125628
8.18487175,29.4120603
46.07768432,29.45226131
7.583769332,29.51256281
8.564680945,29.57286432
9.169312019,29.60301508
22.79955211,29.8040201
7.1008085,29.87437186
8.922689066,29.95477387
38.00660898,30.05527638
30.3792416,30.13567839
10.6167174,30.33668342
6.250156259,30.44723618
9.044085768,30.53768844
47.95380771,30.59798995
18.62375721,30.59798995
9.550953927,30.83919598
9.798123959,30.93969849
9.088754721,30.94974874
7.546513291,30.96984925
16.88670115,31.05025126
10.09830589,31.09045226
31.57799984,31.19095477
21.15812536,31.22110553
32.46030057,31.45226131
6.013298656,31.58291457
7.866690939,31.61306533
12.78325738,31.67336683
11.5678406,31.79396985
11.48733801,31.88442211
23.64670305,32.04522613
5.446689533,32.12562814
7.031630433,32.1758794
6.593748863,32.20603015
32.65549815,32.25628141
7.581745142,32.30653266
14.26518341,32.40703518
6.833040966,32.61809045
